,Rank,Name Of Movie,Releasing Year,Duration(in minutes),Type Of Movie,Rating,Director,Stars,Votes,Gross
68,69, Salaam Bombay! ,1988,113," Crime, Drama            ",8.0, Mira Nair ," Shafiq Syed,  Anjaan,  Amrit Patel,  Murari Sharma   ",9103, $2.08M   
69,70, I Am Kalam ,2010,88," Comedy, Drama, Family            ",8.0, Nila Madhab Panda ," Gulshan Grover,  Harsh Mayar,  Pitobash,  Hussan Saad   ",4070,
70,71, Mera Naam Joker ,1970,224," Comedy, Drama            ",8.0, Raj Kapoor ," Raj Kapoor,  Manoj Kumar,  Simi Garewal,  Rishi Kapoor   ",4832,
71,72, Ankur ,1974,131, Drama            ,8.0, Shyam Benegal ," Shabana Azmi,  Sadhu Meher,  Anant Nag,  Priya Tendulkar   ",1453,
72,73, Kaagaz Ke Phool ,1959,148, Romance            ,8.0, Guru Dutt ," Waheeda Rehman,  Guru Dutt,  Kumari Naaz,  Johnny Walker   ",2234,
73,74, Pinjar: Beyond Boundaries... ,2003,188, Drama            ,8.0, Chandra Prakash Dwivedi ," Urmila Matondkar,  Manoj Bajpayee,  Sanjay Suri,  Sandali Sinha   ",2729,
74,75, Chashme Buddoor ,1981,145," Comedy, Family, Romance            ",8.0, Sai Paranjape ," Farooq Shaikh,  Deepti Naval,  Saeed Jaffrey,  Rakesh Bedi   ",2420,
75,76, Kal Ho Naa Ho ,2003,186," Comedy, Drama, Musical            ",7.9, Nikkhil Advani ," Preity Zinta,  Shah Rukh Khan,  Saif Ali Khan,  Jaya Bachchan   ",66715, $1.79M   
76,77, Padman ,2018,140," Comedy, Drama            ",7.9, R. Balki ," Akshay Kumar,  Radhika Apte,  Sonam Kapoor,  Jyoti Subhash   ",24290, $1.66M   
77,78, Jab We Met ,2007,138," Comedy, Drama, Romance            ",7.9, Imtiaz Ali ," Shahid Kapoor,  Kareena Kapoor,  Tarun Arora,  Dara Singh   ",50664, $0.41M   
78,79, Awaara ,1951,193," Drama, Musical, Romance            ",7.9, Raj Kapoor ," Raj Kapoor,  Nargis,  Prithviraj Kapoor,  K.N. Singh   ",3967,
79,80, Arth ,1982,138," Drama, Romance            ",7.9, Mahesh Bhatt ," Shabana Azmi,  Kulbhushan Kharbanda,  Smita Patil,  Raj Kiran   ",1370,
80,81, Badla ,2019,118," Crime, Drama, Mystery            ",7.8, Sujoy Ghosh ," Amitabh Bachchan,  Taapsee Pannu,  Amrita Singh,  Antonio Aakeel   ",25970, $1.86M   
81,82, The Lunchbox ,2013,104," Drama, Romance            ",7.8, Ritesh Batra ," Irrfan Khan,  Nimrat Kaur,  Nawazuddin Siddiqui,  Lillete Dubey   ",53826, $4.23M   
82,83, Vicky Donor ,2012,126," Comedy, Romance            ",7.8, Shoojit Sircar ," Ayushmann Khurrana,  Yami Gautam,  Annu Kapoor,  Dolly Ahluwalia   ",41849, $0.17M   
83,84, Raazi ,2018,138," Action, Drama, Thriller            ",7.8, Meghna Gulzar ," Alia Bhatt,  Vicky Kaushal,  Rajit Kapoor,  Shishir Sharma   ",28455,
84,85, Veer-Zaara ,2004,192," Drama, Family, Musical            ",7.8, Yash Chopra ," Shah Rukh Khan,  Preity Zinta,  Rani Mukerji,  Kirron Kher   ",51364, $2.92M   
85,86, Udta Punjab ,2016,148," Action, Crime, Drama            ",7.8, Abhishek Chaubey ," Shahid Kapoor,  Alia Bhatt,  Kareena Kapoor,  Diljit Dosanjh   ",29104,
86,87, Parinda ,1989,154," Action, Crime, Drama            ",7.8, Vidhu Vinod Chopra ," Jackie Shroff,  Anil Kapoor,  Nana Patekar,  Madhuri Dixit   ",3285,
87,88, Johnny Gaddaar ,2007,135," Crime, Drama, Mystery            ",7.8, Sriram Raghavan ," Dharmendra,  Rimi Sen,  Ashwini Kalsekar,  Neil Nitin Mukesh   ",12117,
88,89, Don ,1978,175," Action, Crime, Thriller            ",7.8, Chandra Barot ," Amitabh Bachchan,  Zeenat Aman,  Pran Sikand,  Iftekhar   ",11914,
89,90, Water (I) ,2005,117, Drama            ,7.7, Deepa Mehta ," Lisa Ray,  John Abraham,  Seema Biswas,  Sarala Kariyawasam   ",14709, $3.22M   
90,91, Guru ,2007,162, Drama            ,7.7, Mani Ratnam ," Mithun Chakraborty,  Abhishek Bachchan,  Aishwarya Rai Bachchan,  Madhavan   ",23059, $2.09M   
91,92, Shatranj Ke Khilari ,1977,129," Comedy, Drama, History            ",7.7, Satyajit Ray ," Sanjeev Kumar,  Saeed Jaffrey,  Shabana Azmi,  Farida Jalal   ",3503,
92,93, Rock On!! ,2008,145," Drama, Music            ",7.7, Abhishek Kapoor ," Arjun Rampal,  Farhan Akhtar,  Luke Kenny,  Purab Kohli   ",21627,
93,94, Mumbai Meri Jaan ,2008,134, Drama            ,7.7, Nishikant Kamat ," Paresh Rawal,  Kay Kay Menon,  Irrfan Khan,  Madhavan   ",6213, $0.01M   
94,95, Neerja ,2016,122," Biography, Drama, Thriller            ",7.6, Ram Madhvani ," Sonam Kapoor,  Shabana Azmi,  Yogendra Tikku,  Abrar Zahoor   ",22165, $1.54M   
95,96, Dil Se.. ,1998,144," Drama, Romance            ",7.6, Mani Ratnam ," Shah Rukh Khan,  Manisha Koirala,  Preity Zinta,  Raghuvir Yadav   ",27999,
96,97, Manorama: Six Feet Under ,2007,137," Crime, Drama, Mystery            ",7.6, Navdeep Singh ," Abhay Deol,  Gul Panag,  Raima Sen,  Sarika   ",7890,
97,98, Madaari ,2016,133," Adventure, Drama, Thriller            ",7.6, Nishikant Kamat ," Irrfan Khan,  Jimmy Sheirgill,  Vishesh Bansal,  Tushar Dalvi   ",14037,
98,99, Dear Zindagi ,2016,151," Drama, Romance            ",7.5, Gauri Shinde ," Alia Bhatt,  Shah Rukh Khan,  Kunal Kapoor,  Priyanka Moodley   ",38310, $1.40M   
99,100, Bajirao Mastani ,2015,158," Action, Drama, History            ",7.3, Sanjay Leela Bhansali ," Ranveer Singh,  Deepika Padukone,  Priyanka Chopra Jonas,  Tanvi Azmi   ",33200, $6.56M   
