,Rank,Name Of Movie,Releasing Year,Duration,Type Of Movie,Rating,Votes,Gross
51, 52, Hamilton ,2020  ,160 min," Biography, Drama, History            ",  8.4 ,"   77,112 "," Votes: 77,112 "
52, 53, Capharnaüm ,2018  ,126 min, Drama            ,  8.4 ,"   78,144 ",   $1.66M 
53, 54, Joker ,2019  ,122 min," Crime, Drama, Thriller            ",  8.4 ,"   1,100,282 ",   $335.45M 
54, 55, Kimi no na wa,2016  ,106 min," Animation, Drama, Fantasy            ",  8.4 ,"   231,349 ",   $5.02M 
55, 56, Spider-Man: Into the Spider-Verse ,2018  ,117 min," Animation, Action, Adventure            ",  8.4 ,"   439,126 ",   $190.24M 
56, 57, Avengers: Endgame ,2019  ,181 min," Action, Adventure, Drama            ",  8.4 ,"   965,942 ",   $858.37M 
57, 58, Avengers: Infinity War ,2018  ,149 min," Action, Adventure, Sci-Fi            ",  8.4 ,"   944,895 ",   $678.82M 
58, 59, Coco ,I  (2017  ,105 min," Animation, Adventure, Comedy            ",  8.4 ,"   442,822 ",   $209.73M 
59, 60, Django Unchained ,2012  ,165 min," Drama, Western            ",  8.4 ,"   1,444,854 ",   $162.81M 
60, 61, The Dark Knight Rises ,2012  ,164 min," Action, Crime            ",  8.4 ,"   1,593,709 ",   $448.14M 
61, 62, 3 Idiots ,2009  ,170 min," Comedy, Drama            ",  8.4 ,"   372,077 ",   $6.53M 
62, 63, Taare Zameen Par ,2007  ,165 min," Drama, Family            ",  8.4 ,"   182,698 ",   $1.22M 
63, 64, WALL·E ,2008  ,98 min," Animation, Adventure, Family            ",  8.4 ,"   1,052,176 ",   $223.81M 
64, 65, The Lives of Others ,2006  ,137 min," Drama, Mystery, Thriller            ",  8.4 ,"   375,519 ",   $11.29M 
65, 66, Oldeuboi ,2003  ,101 min," Action, Drama, Mystery            ",  8.4 ,"   546,935 ",   $0.71M 
66, 67, Memento ,2000  ,113 min," Mystery, Thriller            ",  8.4 ,"   1,178,687 ",   $25.54M 
67, 68, Mononoke-hime ,1997  ,134 min," Animation, Action, Adventure            ",  8.4 ,"   369,167 ",   $2.38M 
68, 69, Raiders of the Lost Ark ,1981  ,115 min," Action, Adventure            ",  8.4 ,"   923,770 ",   $248.16M 
69, 70, The Shining ,1980  ,146 min," Drama, Horror            ",  8.4 ,"   955,929 ",   $44.02M 
70, 71, Apocalypse Now ,1979  ,147 min," Drama, Mystery, War            ",  8.4 ,"   635,697 ",   $83.47M 
71, 72, Alien ,1979  ,117 min," Horror, Sci-Fi            ",  8.4 ,"   831,972 ",   $78.90M 
72, 73, Tengoku to jigoku ,1963  ,143 min," Crime, Drama, Mystery            ",  8.4 ,"   40,475 "," Votes: 40,475 "
73, 74, Dr,1964  ,95 min," Comedy, War            ",  8.4 ,"   470,858 ",   $0.28M 
74, 75, Witness for the Prosecution ,1957  ,116 min," Crime, Drama, Mystery            ",  8.4 ,"   117,845 ",   $8.18M 
75, 76, Paths of Glory ,1957  ,88 min," Drama, War            ",  8.4 ,"   188,834 "," Votes: 188,834 "
76, 77, Sunset Blvd,1950  ,110 min," Drama, Film-Noir            ",  8.4 ,"   212,958 "," Votes: 212,958 "
77, 78, The Great Dictator ,1940  ,125 min," Comedy, Drama, War            ",  8.4 ,"   214,883 ",   $0.29M 
78, 79, Jagten ,2012  ,115 min, Drama            ,  8.3 ,"   307,732 ",   $0.69M 
79, 80, Inglourious Basterds ,2009  ,153 min," Adventure, Drama, War            ",  8.3 ,"   1,348,850 ",   $120.54M 
80, 81, Eternal Sunshine of the Spotless Mind ,2004  ,108 min," Drama, Romance, Sci-Fi            ",  8.3 ,"   956,333 ",   $34.40M 
81, 82, Requiem for a Dream ,2000  ,102 min, Drama            ,  8.3 ,"   801,745 ",   $3.64M 
82, 83, American Beauty ,1999  ,122 min, Drama            ,  8.3 ,"   1,111,640 ",   $130.10M 
83, 84, Good Will Hunting ,1997  ,126 min," Drama, Romance            ",  8.3 ,"   910,136 ",   $138.43M 
84, 85, Toy Story ,1995  ,81 min," Animation, Adventure, Comedy            ",  8.3 ,"   935,661 ",   $191.80M 
85, 86, Braveheart ,1995  ,178 min," Biography, Drama, History            ",  8.3 ,"   995,228 ",   $75.60M 
86, 87, Reservoir Dogs ,1992  ,99 min," Crime, Drama, Thriller            ",  8.3 ,"   966,410 ",   $2.83M 
87, 88, Idi i smotri ,1985  ,142 min," Drama, Thriller, War            ",  8.3 ,"   69,730 "," Votes: 69,730 "
88, 89, Aliens ,1986  ,137 min," Action, Adventure, Sci-Fi            ",  8.3 ,"   684,671 ",   $85.16M 
89, 90, Once Upon a Time in America ,1984  ,229 min," Crime, Drama            ",  8.3 ,"   333,074 ",   $5.32M 
90, 91, Amadeus ,1984  ,160 min," Biography, Drama, Music            ",  8.3 ,"   385,155 ",   $51.97M 
91, 92, Star Wars: Episode VI - Return of the Jedi ,1983  ,131 min," Action, Adventure, Fantasy            ",  8.3 ,"   994,700 ",   $309.13M 
92, 93, Das Boot ,1981  ,149 min," Adventure, Drama, Thriller            ",  8.3 ,"   242,321 ",   $11.49M 
93, 94, 2001: A Space Odyssey ,1968  ,149 min," Adventure, Sci-Fi            ",  8.3 ,"   635,778 ",   $56.95M 
94, 95, North by Northwest ,1959  ,136 min," Adventure, Mystery, Thriller            ",  8.3 ,"   314,700 ",   $13.28M 
95, 96, Vertigo ,1958  ,128 min," Mystery, Romance, Thriller            ",  8.3 ,"   385,654 ",   $3.20M 
96, 97, Singin' in the Rain ,1952  ,103 min," Comedy, Musical, Romance            ",  8.3 ,"   230,690 ",   $8.82M 
97, 98, Ladri di biciclette ,1948  ,89 min, Drama            ,  8.3 ,"   157,082 ",   $0.33M 
98, 99, Citizen Kane ,1941  ,119 min," Drama, Mystery            ",  8.3 ,"   425,616 ",   $1.59M 
99, 100, M - Eine Stadt sucht einen Mörder ,1931  ,117 min," Crime, Mystery, Thriller            ",  8.3 ,"   151,921 ",   $0.03M 
